LIMIT_BAL,AGE,INCOME,UTILIZATION,PAY_1,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,risk_level
171958,52,131631,0.28,5,-2,5,4,0,4,414317,161398,19606,308620,186632,147273,49933,82685,174205,110085,186556,53488,2
721155,27,132984,0.55,5,-1,-1,4,-2,-2,7863,436887,408409,205390,274688,210821,128941,216,43604,31735,134421,150891,1
181932,34,69428,0.19,5,0,3,2,8,0,77535,248541,433128,148566,339779,195783,147535,98431,121135,109678,96130,56704,2
415838,68,69877,0.09,4,5,-1,2,-2,-2,48233,181443,157447,299756,29511,91344,44724,54715,16036,70876,189949,35187,2
309178,59,174459,0.77,-1,7,5,-1,-1,8,399989,77760,62664,256590,277197,160584,90622,24706,44154,146886,54901,168045,2
694167,47,46084,0.63,-1,8,5,3,3,7,318718,298174,158118,472600,495954,499792,130097,59122,149934,156362,98899,18041,1
160268,61,146973,0.75,8,4,-1,-2,6,4,262131,399452,300483,364772,287039,50664,31591,66321,97015,89172,37323,15135,2
782180,24,176977,0.44,6,5,3,4,3,-1,380523,490416,482778,4056,27961,445370,178678,24583,63496,106967,188699,136248,1
104886,35,53733,0.25,-2,-2,6,7,0,-1,453415,192192,303422,305921,491974,341723,82719,51628,123859,98638,163843,170066,0
187337,36,116560,0.43,-2,1,8,2,0,8,29575,50860,80414,433868,21292,288056,61871,185438,156523,14668,3974,43116,1
571430,32,118810,0.06,4,3,8,5,8,-2,132277,203142,370315,398226,384227,219606,22050,149368,29363,155200,53393,150878,2
137498,56,177071,0.28,7,6,2,7,4,-1,133399,382944,214393,85634,47886,373759,174162,195441,172508,107715,116064,54583,2
949159,61,125482,0.3,3,-1,6,1,0,0,65335,449851,19543,71427,425349,416098,163416,20419,191802,109665,88361,162016,1
962756,39,133241,0.71,3,5,1,2,5,3,138394,206640,34095,80807,250217,42659,98313,173192,176176,196444,28099,189770,2
225203,56,147765,0.05,5,2,4,1,4,0,462618,137178,837,441943,202289,273737,117364,9351,13603,141090,182584,174599,2
241335,59,144612,0.25,8,-2,1,6,6,7,195417,460614,103033,213247,239578,48574,97474,156705,33267,83875,64743,40570,2
328167,47,180969,0.28,8,0,8,7,1,7,419447,379021,73832,169812,52160,456469,106674,20499,68205,115701,127370,132465,2
91090,37,51779,0.55,1,2,8,0,1,2,491209,5170,65099,322590,204995,154821,2399,25626,56041,155498,5724,118823,1
379365,49,132940,0.24,2,0,5,-2,1,-2,205906,80657,81739,120893,474065,458382,153534,160033,128280,72598,98246,13157,1
114820,59,16365,0.13,2,5,2,2,4,3,361579,421168,295019,266838,322297,433921,9171,9854,10471,45719,109861,20444,1
837201,42,154459,0.26,3,2,6,8,7,8,440352,359692,78007,181980,131274,277589,145681,172150,20307,95648,169391,170450,2
371879,40,47918,0.42,-2,3,8,2,-1,0,46515,299467,383641,112564,136733,184948,147321,86945,73742,973,32938,48765,1
768315,22,151252,0.53,1,8,-1,8,6,3,288028,483957,358448,159164,323871,473777,28772,20708,31733,152221,89233,46798,1
377069,67,45342,0.04,0,-2,6,6,4,-2,292855,243892,42474,101595,297184,430517,8709,122635,145179,89234,143017,105118,0
826997,58,134211,0.31,8,5,-2,-2,-2,6,292295,167854,35578,204110,232456,162071,32362,170894,172915,98682,71149,75527,1
249041,47,113634,0.76,8,3,5,8,1,1,150736,90195,294224,96554,216278,165753,99247,27321,120378,28761,136667,146858,2
841743,65,67476,0.6,4,3,2,6,2,-1,85351,418203,273722,309186,375076,306022,75841,43983,75024,122565,83974,37515,1
153355,56,138769,0.46,-2,-1,4,2,2,7,374309,478026,372724,277034,132696,310703,168720,70603,57657,123724,68827,122122,1
285796,44,196178,0.45,-1,1,3,-1,3,2,364873,192058,17475,276866,348024,203530,94608,187785,198729,165968,1035,195631,1
264176,59,59649,0.37,8,1,7,7,5,1,194167,134997,297409,215161,238571,64387,139948,157376,58509,43189,148214,170710,1
234779,54,134137,0.34,5,4,-1,8,8,1,355777,411957,409868,178023,339036,290403,147634,26363,102487,187480,3506,17662,1
397449,24,58908,0.4,-1,0,7,-2,8,4,238331,217307,26082,426270,330284,37051,189062,78243,147949,94569,131622,51616,1
471909,22,173889,0.87,8,2,8,3,5,2,312495,460754,83933,394669,415375,377413,81856,94118,36878,75794,10630,188124,2
308795,32,91123,0.47,6,0,7,-2,3,6,351948,144560,237773,144335,337762,156993,86684,9747,93254,164454,73465,88965,1
536232,68,49812,0.67,1,4,-2,0,6,-1,355307,79097,497728,111288,442528,120319,110497,66697,149332,34954,121842,25436,1
967040,59,53413,0.81,0,-2,8,6,-1,3,188282,353331,303627,478371,73969,316752,174683,116588,83736,160424,115028,22869,2
550186,25,166055,0.43,1,1,4,3,0,2,234460,178446,484903,460665,441507,359647,77200,104358,172575,35925,199728,72973,1
206730,26,169497,0.84,6,7,7,7,1,1,364537,262144,226439,391472,301621,420427,15020,177020,108112,105580,159320,122292,2
920910,28,151082,0.99,4,-1,8,7,4,2,351659,167139,30409,62339,432341,34119,196073,122053,11030,141158,55021,186337,2
434681,39,68142,0.5,8,0,2,3,4,8,56503,22427,7543,346927,217377,497515,88227,122132,194179,184126,184130,89992,1
199503,51,102565,0.4,8,3,5,-1,8,1,273263,316256,463028,353780,283231,125634,195363,46462,144325,161038,71092,190661,1
704811,52,59974,0.81,1,0,1,6,7,2,442921,320184,22571,227553,263412,258959,85697,29775,28815,73812,977,82443,2
577035,30,193418,0.65,4,8,4,1,-2,-1,281051,329528,375797,338540,281420,207411,166760,48728,25199,182239,80016,188240,1
698143,28,96726,0.61,5,3,6,6,3,-1,222427,229873,266888,168039,171814,256795,48064,180777,44481,138585,145647,130492,1
502366,49,195185,0.89,8,5,-1,1,-2,0,383407,451457,465294,257422,1880,433404,131587,86823,189972,42574,3840,180255,2
115725,59,124166,0.65,8,8,5,8,-2,5,459243,325374,204466,458715,102219,101188,126518,103415,128716,14469,121681,75047,1
179981,32,164031,0.64,5,-1,7,1,1,3,284158,172727,101458,337743,472923,125227,58812,199026,137045,175258,198005,22835,1
134654,55,17213,0.21,3,8,8,3,2,8,41085,168404,405776,119157,438760,113148,90006,147943,198540,31246,164016,180604,2
955778,18,196450,0.69,8,3,5,8,-1,5,6303,188096,459723,107882,336080,423467,91812,78737,130992,2634,125566,151663,1
641723,63,155927,0.91,8,-1,3,4,-1,0,251892,275567,36108,93660,149859,283568,92723,78479,80079,5403,93423,4100,2
369030,67,89091,0.58,-2,8,0,3,7,7,113539,365875,164867,495909,401452,480638,59480,97097,127550,111319,81531,32405,1
378947,41,194351,0.9,7,4,5,-2,2,-2,258265,499131,288288,287862,210873,138093,169805,96544,35645,51101,158595,75848,2
605839,60,20544,0.34,8,5,-1,5,-1,-2,408096,422042,79171,322683,447517,470426,140662,146523,147524,45224,68647,152361,1
952648,57,36137,0.04,8,6,0,-2,3,7,275207,136218,418745,95584,455564,365081,181542,142107,93606,23529,187729,22838,2
323538,39,86124,0.45,0,3,-1,4,0,4,328095,55178,286586,247654,246294,360997,133355,142092,19257,126662,154098,192387,1
381236,20,141361,0.0,3,-1,0,-1,8,6,223051,277562,162683,246775,264407,109782,163058,56338,139324,9345,56843,172784,2
578178,31,54426,0.15,-2,4,4,4,-1,6,50929,168572,471346,271098,394651,447137,36720,192336,23074,160017,128815,198079,0
615894,19,79588,0.19,2,3,5,0,7,-1,46616,225753,235999,256057,150904,229620,83434,130341,98869,55229,184984,4649,1
539492,49,150899,0.53,-1,-1,6,8,-2,8,452683,380192,26620,180732,482346,12337,126173,191528,157256,65090,6561,166102,1
306840,65,108069,0.95,-2,3,-2,1,0,1,123982,103901,114039,480372,256861,356801,166139,146214,23213,54932,106188,108743,2
523254,55,184978,0.02,7,8,7,3,3,5,31756,303744,194612,343584,328868,300872,12732,90124,193303,112957,69806,142994,2
399457,50,92184,0.24,0,2,7,2,1,-2,377834,150494,285348,184961,243587,465022,136864,45566,144721,61087,88619,128485,0
715987,63,184819,0.97,-1,6,-1,-1,8,5,279725,22923,303299,410046,481234,407072,76139,173270,17107,161169,134041,117771,2
320936,59,30738,0.88,3,-2,2,-1,6,5,419736,183788,206394,46276,202498,128023,108077,692,21480,94764,146443,184019,2
289931,23,94075,0.83,3,1,4,-2,3,7,118348,291518,76425,119791,495364,12612,55457,188220,115043,77609,192794,88537,2
289629,58,25357,0.09,8,2,-2,0,7,2,301228,304836,436360,474621,270872,272384,52634,135983,29349,125501,14443,146058,2
255041,56,184127,0.64,4,4,4,-1,4,-2,248403,370775,159402,340353,81809,346179,79778,38186,186298,129033,21566,159631,1
748361,42,58779,0.2,4,7,-2,1,8,1,222740,56883,497216,304261,485187,27504,44538,69242,79634,28114,117466,90554,2
781912,51,194105,0.65,2,8,-2,2,4,2,373766,246943,209567,156056,467713,292557,51989,126750,92928,83631,46849,36069,1
467113,28,74072,0.43,0,7,0,1,1,2,438174,420883,147794,324260,369708,40135,69474,181269,112518,64664,198881,171539,1
118148,63,122191,0.64,3,5,5,-2,4,-1,327175,172274,398297,248749,31202,386294,23898,194962,121927,17080,35582,50851,1
827089,54,19617,0.43,0,0,-2,-1,2,4,126995,453336,55887,92421,416209,208506,131095,144934,79525,108570,187400,126651,1
698531,58,197608,0.91,2,4,3,0,7,5,97629,450466,499150,41309,69637,61304,150071,11376,90014,52316,75968,61032,2
301995,24,143326,0.03,0,4,6,4,7,2,423899,136537,339743,467811,141705,369640,9115,194654,172755,41971,180630,111665,0
956606,63,57342,0.19,3,2,8,2,5,4,88187,325051,216711,469298,12932,443903,110533,191292,104718,24792,84120,111009,2
728843,65,25687,0.83,1,1,7,-1,-2,5,338994,202567,84750,100121,487062,265703,138774,89776,91402,134073,62561,116780,2
960790,39,152868,0.74,6,8,8,7,7,3,66949,127520,160301,3658,33334,279727,37679,102179,57337,85326,22090,11617,2
622843,65,198829,0.19,-1,7,6,4,4,1,251616,224849,47235,178768,446137,390367,8427,156918,159618,29033,151478,62996,0
306508,56,74191,0.12,4,7,2,0,1,1,294643,39932,381405,47195,23574,436162,142136,4788,86470,78867,199036,126975,2
853591,27,54801,0.31,2,6,0,4,-1,3,475835,433393,244413,315557,248728,46878,4679,122563,123789,75049,132563,128200,1
946942,38,21747,0.48,6,3,0,3,8,-2,313207,48815,284553,341100,254407,19081,178171,70317,158303,87091,146084,199472,1
156530,23,22936,0.05,7,-2,2,8,4,-2,327444,360229,327316,200865,376076,67664,15950,149300,150018,14683,188008,130187,2
654365,66,178365,0.85,2,2,4,3,-1,6,86045,159242,110715,291001,2354,426722,120557,71903,6929,95923,155387,357,2
872352,18,97678,0.52,2,2,2,8,4,6,374843,63161,202552,55006,252273,465646,195769,92246,88695,49237,175774,912,1
510337,51,130129,0.92,-1,3,1,-1,7,3,318207,115700,46801,58190,377711,283842,91044,195144,42495,55215,151815,128832,2
774839,31,158768,0.33,0,7,-2,0,-2,0,429268,245094,155135,122084,261740,188834,57411,29702,1682,66995,104730,10825,1
855889,53,28097,0.05,3,2,3,7,-2,3,118513,335924,48396,33300,68484,190951,62183,158699,195703,153266,163055,34377,2
509773,44,152300,0.87,1,3,8,8,0,-1,409284,427343,32209,318104,444598,358967,107408,8691,139568,183428,144683,76747,2
258261,26,75832,0.15,8,4,0,1,4,0,292642,157386,438314,295090,38425,218908,117313,34615,23049,77345,19405,142688,2
814469,23,194128,0.34,0,1,4,7,2,1,297714,10270,343531,19185,141243,365490,92810,117626,22172,190632,176910,26824,1
391097,48,71868,0.46,2,6,3,1,7,3,38065,210257,154800,323429,245492,207376,140625,176103,132733,92841,96605,136330,1
365139,34,199417,0.49,6,5,2,3,-2,2,454733,292062,426595,28370,13428,361623,186336,38312,141150,2091,195263,165531,1
221829,60,29141,0.02,0,5,5,1,-2,4,67526,466571,103432,189848,383628,490938,10903,136505,42173,96154,25029,153162,0
321836,53,126133,0.53,4,6,6,5,0,5,381975,493841,4651,3963,292817,296094,196781,89239,171033,168418,147908,27607,1
488974,38,179030,0.08,6,0,7,5,7,1,174791,488994,234289,231141,88906,295515,48651,9485,67929,175167,7849,100201,2
252283,44,82409,0.33,1,8,3,5,3,2,475630,441139,282497,218308,62794,340196,33611,112663,7346,79697,114247,151201,1
246769,58,154030,0.98,4,6,3,-2,2,0,114071,120584,302119,492235,184655,368073,122699,114682,96649,137772,150627,86076,2
611353,45,22489,0.28,8,-1,5,3,5,5,58248,11449,178623,129841,59527,380957,46094,170699,60960,83253,23285,58900,2
273165,33,170905,0.81,4,7,1,6,7,7,160751,446505,373675,169655,64117,439619,59013,80018,194193,36167,155680,39275,2
673587,52,154418,0.51,8,-2,5,-1,1,8,50922,393422,310400,83101,32559,373332,136032,52155,189179,49285,82397,171805,1
585822,53,140871,0.2,0,5,0,7,4,7,426915,350037,164050,153270,376354,482043,16789,168576,189127,170697,23381,34405,0
537879,52,184446,0.72,-2,5,-1,0,4,8,45105,46694,154055,213260,338091,94789,2942,115542,10181,88550,116941,149758,2
614685,62,191125,0.56,1,7,5,6,2,-2,31284,155205,439931,170811,18360,424152,99806,126139,17353,78552,12406,171834,1
832038,36,58235,0.53,6,4,6,7,5,6,248608,388036,225882,126856,204926,399228,108370,64877,103609,97185,168687,6007,1
403531,38,54428,0.03,7,-2,1,0,3,8,5582,452901,176339,130589,457787,362374,128373,152919,74415,192079,171812,153363,2
313160,50,144664,0.33,4,5,2,2,6,3,402727,51782,211866,262622,1941,345805,122359,114323,57822,47417,85845,131054,1
629879,40,125665,0.73,7,6,0,2,8,3,28336,439996,444075,248908,251417,116408,145459,79931,110147,61220,61080,94722,2
270884,23,33796,0.8,3,-2,1,8,8,-2,211343,407928,244364,494465,126014,107034,159556,166840,70387,66030,526,4696,2
73247,49,193638,0.81,2,-2,3,8,4,4,267926,190590,34308,384641,352254,455333,90170,78182,84473,183029,62359,29047,2
